sample_name,cluster_label,class,donor,sex,age_days,cortical_layer
F1S4_160802_163_E01,Inh L3-6 VIP HS3ST3A1,GABAergic,H200.1030,M,19710,L6
F1S4_160802_163_F01,Inh L1-4 LAMP5 LCP2,GABAergic,H200.1030,M,19710,L6
F1S4_160802_163_G01,Exc L5-6 THEMIS C1QL3,Glutamatergic,H200.1030,M,19710,L6
F1S4_160802_164_A01,Exc L5-6 THEMIS C1QL3,Glutamatergic,H200.1030,M,19710,L6
F1S4_160802_164_B01,Exc L5-6 THEMIS C1QL3,Glutamatergic,H200.1030,M,19710,L6
F1S4_160802_164_C01,Exc L5-6 FEZF2 EFTUD1P1,Glutamatergic,H200.1030,M,19710,L6
F1S4_160802_164_D01,Exc L5-6 THEMIS C1QL3,Glutamatergic,H200.1030,M,19710,L6
F1S4_160802_164_F01,Inh L3-6 SST HPGD,GABAergic,H200.1030,M,19710,L6
F1S4_160802_164_G01,Exc L5-6 THEMIS C1QL3,Glutamatergic,H200.1030,M,19710,L6
F1S4_160802_165_A01,Exc L5-6 FEZF2 IL15,Glutamatergic,H200.1030,M,19710,L6
F1S4_160802_165_B01,Exc L5-6 FEZF2 ABO,Glutamatergic,H200.1030,M,19710,L6
F1S4_160802_165_C01,Exc L2-4 LINC00507 GLP2R,Glutamatergic,H200.1030,M,19710,L6
F1S4_160802_165_D01,Inh L5-6 SST NPM1P10,GABAergic,H200.1030,M,19710,L6
F1S4_160802_165_E01,Exc L5-6 FEZF2 EFTUD1P1,Glutamatergic,H200.1030,M,19710,L6
F1S4_160802_165_F01,Inh L5-6 SST NPM1P10,GABAergic,H200.1030,M,19710,L6
F1S4_160802_165_G01,Exc L5-6 FEZF2 EFTUD1P1,Glutamatergic,H200.1030,M,19710,L6
F1S4_160802_165_H01,Oligo L1-6 OPALIN,Non-neuronal,H200.1030,M,19710,L6
F1S4_160802_166_A01,Exc L5-6 THEMIS C1QL3,Glutamatergic,H200.1030,M,19710,L6
F1S4_160802_166_B01,Exc L5-6 FEZF2 ABO,Glutamatergic,H200.1030,M,19710,L6
F1S4_160802_166_C01,Exc L6 FEZF2 SCUBE1,Glutamatergic,H200.1030,M,19710,L6
F1S4_160802_166_D01,Exc L5-6 THEMIS C1QL3,Glutamatergic,H200.1030,M,19710,L6
F1S4_160802_166_F01,Inh L4-6 PVALB SULF1,GABAergic,H200.1030,M,19710,L6
F1S4_160802_166_G01,Inh L5-6 SST KLHDC8A,GABAergic,H200.1030,M,19710,L6
F1S4_160831_002_A01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160831_002_B01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L1
F1S4_160831_002_C01,Inh L1-3 SST CALB1,GABAergic,H200.1030,M,19710,L1
F1S4_160831_002_D01,Inh L1 LAMP5 NMBR,GABAergic,H200.1030,M,19710,L1
F1S4_160831_002_E01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160831_002_F01,Inh L1-2 ADARB2 MC4R,GABAergic,H200.1030,M,19710,L1
F1S4_160831_002_G01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160831_002_H01,Astro L1-6 FGFR3 SLC14A1,Non-neuronal,H200.1030,M,19710,L1
F1S4_160831_003_A01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L1
F1S4_160831_003_B01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160831_003_D01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L1
F1S4_160831_003_E01,Inh L1 LAMP5 NMBR,GABAergic,H200.1030,M,19710,L1
F1S4_160831_003_F01,Inh L1-3 SST CALB1,GABAergic,H200.1030,M,19710,L1
F1S4_160831_003_G01,Inh L1-2 ADARB2 MC4R,GABAergic,H200.1030,M,19710,L1
F1S4_160831_003_H01,Astro L1-6 FGFR3 SLC14A1,Non-neuronal,H200.1030,M,19710,L1
F1S4_160831_004_C01,Inh L1 LAMP5 NMBR,GABAergic,H200.1030,M,19710,L1
F1S4_160831_004_E01,Inh L2-4 PVALB WFDC2,GABAergic,H200.1030,M,19710,L1
F1S4_160831_004_F01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L1
F1S4_160831_004_H01,OPC L1-6 PDGFRA,Non-neuronal,H200.1030,M,19710,L1
F1S4_160831_005_A01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160831_005_B01,Inh L1-3 VIP CHRM2,GABAergic,H200.1030,M,19710,L1
F1S4_160831_005_C01,Inh L1 LAMP5 NMBR,GABAergic,H200.1030,M,19710,L1
F1S4_160831_005_D01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160831_005_E01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160831_005_F01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L1
F1S4_160831_005_G01,Inh L1 LAMP5 NMBR,GABAergic,H200.1030,M,19710,L1
F1S4_160831_005_H01,Micro L1-6 TYROBP,Non-neuronal,H200.1030,M,19710,L1
F1S4_160831_006_A01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160831_006_B01,Inh L2-6 LAMP5 CA1,GABAergic,H200.1030,M,19710,L1
F1S4_160831_006_C01,Inh L1-2 ADARB2 MC4R,GABAergic,H200.1030,M,19710,L1
F1S4_160831_006_D01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160831_006_E01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L1
F1S4_160831_006_F01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L1
F1S4_160831_006_G01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L1
F1S4_160831_006_H01,Oligo L1-6 OPALIN,Non-neuronal,H200.1030,M,19710,L1
F1S4_160831_008_B01,Inh L1-3 VIP GGH,GABAergic,H200.1030,M,19710,L2
F1S4_160831_008_C01,no class,no class,H200.1030,M,19710,L2
F1S4_160831_008_D01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_008_E01,Inh L2-6 LAMP5 CA1,GABAergic,H200.1030,M,19710,L2
F1S4_160831_008_G01,Exc L4-6 FEZF2 IL26,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_008_H01,Astro L1-6 FGFR3 SLC14A1,Non-neuronal,H200.1030,M,19710,L2
F1S4_160831_009_A01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_009_B01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_009_C01,no class,no class,H200.1030,M,19710,L2
F1S4_160831_009_D01,Exc L2-4 LINC00507 GLP2R,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_009_E01,Inh L1-4 LAMP5 LCP2,GABAergic,H200.1030,M,19710,L2
F1S4_160831_009_F01,no class,no class,H200.1030,M,19710,L2
F1S4_160831_009_G01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_009_H01,Astro L1-6 FGFR3 SLC14A1,Non-neuronal,H200.1030,M,19710,L2
F1S4_160831_010_A01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_010_B01,Exc L3-5 RORB ESR1,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_010_C01,Exc L5-6 THEMIS C1QL3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_010_D01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_010_E01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_010_F01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_010_G01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_010_H01,Micro L1-6 TYROBP,Non-neuronal,H200.1030,M,19710,L2
F1S4_160831_011_B01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_011_C01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_011_E01,Inh L2-6 LAMP5 CA1,GABAergic,H200.1030,M,19710,L2
F1S4_160831_012_C01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_012_D01,Exc L3-5 RORB ESR1,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_012_E01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_012_F01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_012_G01,Exc L4-5 RORB FOLH1B,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_013_A01,no class,no class,H200.1030,M,19710,L2
F1S4_160831_013_B01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_013_C01,Inh L2-5 VIP TYR,GABAergic,H200.1030,M,19710,L2
F1S4_160831_013_G01,no class,no class,H200.1030,M,19710,L2
F1S4_160831_013_H01,no class,no class,H200.1030,M,19710,L2
F1S4_160831_014_A01,Inh L2-4 SST FRZB,GABAergic,H200.1030,M,19710,L2
F1S4_160831_014_B01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_014_C01,Inh L1-3 VIP SYT6,GABAergic,H200.1030,M,19710,L2
F1S4_160831_014_E01,Inh L3-5 SST ADGRG6,GABAergic,H200.1030,M,19710,L2
F1S4_160831_014_F01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_014_G01,Inh L2-5 VIP TYR,GABAergic,H200.1030,M,19710,L2
F1S4_160831_014_H01,OPC L1-6 PDGFRA,Non-neuronal,H200.1030,M,19710,L2
F1S4_160831_015_A01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_015_C01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_015_E01,Inh L1-3 VIP GGH,GABAergic,H200.1030,M,19710,L2
F1S4_160831_015_F01,no class,no class,H200.1030,M,19710,L2
F1S4_160831_015_G01,Exc L5-6 FEZF2 ABO,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_016_A01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_016_B01,Exc L5-6 THEMIS C1QL3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_016_C01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_016_D01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_016_E01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_016_F01,Exc L4-5 RORB FOLH1B,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_017_B01,Inh L2-5 PVALB SCUBE3,GABAergic,H200.1030,M,19710,L2
F1S4_160831_017_C01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_017_E01,Exc L4-5 RORB FOLH1B,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_017_F01,Inh L1-2 ADARB2 MC4R,GABAergic,H200.1030,M,19710,L2
F1S4_160831_017_G01,no class,no class,H200.1030,M,19710,L2
F1S4_160831_017_H01,Astro L1-6 FGFR3 SLC14A1,Non-neuronal,H200.1030,M,19710,L2
F1S4_160831_018_A01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_018_B01,Exc L3-5 RORB ESR1,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_018_C01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_018_E01,Inh L1-2 SST BAGE2,GABAergic,H200.1030,M,19710,L2
F1S4_160831_018_F01,no class,no class,H200.1030,M,19710,L2
F1S4_160831_018_G01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_031_A01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_031_B01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_031_C01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_031_D01,Inh L2-3 VIP CASC6,GABAergic,H200.1030,M,19710,L2
F1S4_160831_031_E01,Inh L2-4 PVALB WFDC2,GABAergic,H200.1030,M,19710,L2
F1S4_160831_032_A01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_032_E01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_032_F01,Inh L1-4 LAMP5 LCP2,GABAergic,H200.1030,M,19710,L2
F1S4_160831_032_G01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_033_A01,Exc L3-4 RORB CARM1P1,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_033_B01,Inh L1-3 SST CALB1,GABAergic,H200.1030,M,19710,L2
F1S4_160831_033_C01,Inh L1-3 SST CALB1,GABAergic,H200.1030,M,19710,L2
F1S4_160831_033_D01,Exc L4-6 RORB SEMA3E,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_033_E01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_033_F01,Inh L2-4 PVALB WFDC2,GABAergic,H200.1030,M,19710,L2
F1S4_160831_033_G01,Exc L3-5 RORB ESR1,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_034_A01,Inh L1-3 SST CALB1,GABAergic,H200.1030,M,19710,L2
F1S4_160831_034_B01,no class,no class,H200.1030,M,19710,L2
F1S4_160831_034_E01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_034_F01,Inh L3-5 SST ADGRG6,GABAergic,H200.1030,M,19710,L2
F1S4_160831_034_G01,Inh L4-6 SST B3GAT2,GABAergic,H200.1030,M,19710,L2
F1S4_160831_035_A01,Inh L1-3 VIP CHRM2,GABAergic,H200.1030,M,19710,L2
F1S4_160831_035_B01,Exc L4-5 RORB FOLH1B,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_035_C01,Inh L1-4 VIP OPRM1,GABAergic,H200.1030,M,19710,L2
F1S4_160831_035_D01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_035_E01,no class,no class,H200.1030,M,19710,L2
F1S4_160831_035_F01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_035_G01,Inh L4-6 PVALB SULF1,GABAergic,H200.1030,M,19710,L2
F1S4_160831_035_H01,OPC L1-6 PDGFRA,Non-neuronal,H200.1030,M,19710,L2
F1S4_160831_036_A01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_036_B01,Exc L4-6 RORB SEMA3E,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_036_C01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_036_E01,Inh L2-5 VIP TYR,GABAergic,H200.1030,M,19710,L2
F1S4_160831_036_G01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_036_H01,Astro L1-2 FGFR3 GFAP,Non-neuronal,H200.1030,M,19710,L2
F1S4_160831_037_A01,Exc L4-5 RORB DAPK2,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_037_C01,Exc L4-6 RORB SEMA3E,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_037_F01,Inh L1-4 LAMP5 LCP2,GABAergic,H200.1030,M,19710,L2
F1S4_160831_037_H01,Micro L1-6 TYROBP,Non-neuronal,H200.1030,M,19710,L2
F1S4_160831_038_A01,no class,no class,H200.1030,M,19710,L2
F1S4_160831_038_B01,Inh L4-5 SST STK32A,GABAergic,H200.1030,M,19710,L2
F1S4_160831_038_D01,Inh L2-3 VIP CASC6,GABAergic,H200.1030,M,19710,L2
F1S4_160831_038_E01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_038_F01,Exc L4-6 RORB SEMA3E,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_038_G01,Inh L1 LAMP5 NMBR,GABAergic,H200.1030,M,19710,L2
F1S4_160831_039_A01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_039_B01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_039_C01,Exc L5-6 FEZF2 EFTUD1P1,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_039_D01,Inh L1-2 VIP LBH,GABAergic,H200.1030,M,19710,L2
F1S4_160831_039_E01,Inh L4-6 SST B3GAT2,GABAergic,H200.1030,M,19710,L2
F1S4_160831_039_F01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_039_G01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_039_H01,OPC L1-6 PDGFRA,Non-neuronal,H200.1030,M,19710,L2
F1S4_160831_040_A01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_040_B01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_040_D01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_040_E01,Inh L1 LAMP5 NMBR,GABAergic,H200.1030,M,19710,L2
F1S4_160831_040_F01,Inh L1-4 VIP OPRM1,GABAergic,H200.1030,M,19710,L2
F1S4_160831_040_G01,Inh L5-6 SST KLHDC8A,GABAergic,H200.1030,M,19710,L2
F1S4_160831_040_H01,Astro L1-6 FGFR3 SLC14A1,Non-neuronal,H200.1030,M,19710,L2
F1S4_160831_041_A01,Exc L5-6 THEMIS C1QL3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_042_A01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_042_C01,Exc L4-5 RORB FOLH1B,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_042_D01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_042_E01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_042_F01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L2
F1S4_160831_044_A01,Exc L2-4 LINC00507 GLP2R,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_044_B01,Inh L2-4 PVALB WFDC2,GABAergic,H200.1030,M,19710,L3
F1S4_160831_044_C01,Exc L4-5 RORB FOLH1B,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_044_D01,Inh L2-4 VIP CBLN1,GABAergic,H200.1030,M,19710,L3
F1S4_160831_044_E01,Exc L3-5 RORB ESR1,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_044_G01,Inh L1-3 SST CALB1,GABAergic,H200.1030,M,19710,L3
F1S4_160831_044_H01,OPC L1-6 PDGFRA,Non-neuronal,H200.1030,M,19710,L3
F1S4_160831_045_A01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_045_B01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_045_C01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_045_D01,Inh L1-3 VIP CHRM2,GABAergic,H200.1030,M,19710,L3
F1S4_160831_045_E01,Inh L3-5 SST ADGRG6,GABAergic,H200.1030,M,19710,L3
F1S4_160831_045_F01,Inh L2-4 PVALB WFDC2,GABAergic,H200.1030,M,19710,L3
F1S4_160831_045_G01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_045_H01,no class,no class,H200.1030,M,19710,L3
F1S4_160831_046_A01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_046_B01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_046_C01,Exc L4-6 RORB SEMA3E,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_046_D01,Exc L3-5 RORB COL22A1,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_046_E01,Exc L3-5 RORB ESR1,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_046_F01,Inh L1-3 VIP GGH,GABAergic,H200.1030,M,19710,L3
F1S4_160831_046_H01,no class,no class,H200.1030,M,19710,L3
F1S4_160831_047_A01,Inh L1-4 VIP OPRM1,GABAergic,H200.1030,M,19710,L3
F1S4_160831_047_B01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_047_C01,Inh L1-3 VIP ADAMTSL1,GABAergic,H200.1030,M,19710,L3
F1S4_160831_047_D01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_047_E01,Exc L3-5 RORB ESR1,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_047_F01,no class,no class,H200.1030,M,19710,L3
F1S4_160831_047_G01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_048_A01,Inh L4-6 SST B3GAT2,GABAergic,H200.1030,M,19710,L3
F1S4_160831_048_B01,Inh L2-3 VIP CASC6,GABAergic,H200.1030,M,19710,L3
F1S4_160831_048_C01,Inh L3-5 SST ADGRG6,GABAergic,H200.1030,M,19710,L3
F1S4_160831_048_D01,Inh L2-4 VIP CBLN1,GABAergic,H200.1030,M,19710,L3
F1S4_160831_048_E01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_048_F01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_048_G01,Inh L1-3 SST CALB1,GABAergic,H200.1030,M,19710,L3
F1S4_160831_049_A01,Astro L1-6 FGFR3 SLC14A1,Non-neuronal,H200.1030,M,19710,L3
F1S4_160831_049_B01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_049_C01,Inh L1-3 VIP CHRM2,GABAergic,H200.1030,M,19710,L3
F1S4_160831_049_D01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_049_E01,Exc L2-4 LINC00507 GLP2R,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_049_F01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_049_G01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_050_A01,Exc L3-5 RORB COL22A1,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_050_B01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_050_C01,Inh L2-6 LAMP5 CA1,GABAergic,H200.1030,M,19710,L3
F1S4_160831_050_D01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_050_E01,Inh L2-6 LAMP5 CA1,GABAergic,H200.1030,M,19710,L3
F1S4_160831_050_F01,Exc L3-5 RORB ESR1,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_050_G01,Inh L1-4 VIP CHRNA6,GABAergic,H200.1030,M,19710,L3
F1S4_160831_051_A01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_051_B01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_051_C01,Exc L3-5 RORB ESR1,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_051_D01,no class,no class,H200.1030,M,19710,L3
F1S4_160831_051_E01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_051_F01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_051_G01,Inh L2-4 PVALB WFDC2,GABAergic,H200.1030,M,19710,L3
F1S4_160831_052_A01,Exc L3-5 RORB ESR1,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_052_E01,Exc L4-6 RORB SEMA3E,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_052_F01,Exc L3-5 RORB ESR1,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_052_G01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_053_B01,Inh L1-3 VIP CCDC184,GABAergic,H200.1030,M,19710,L3
F1S4_160831_053_D01,Exc L2 LAMP5 LTK,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_053_E01,Inh L1-3 VIP CHRM2,GABAergic,H200.1030,M,19710,L3
F1S4_160831_053_F01,Inh L2-6 LAMP5 CA1,GABAergic,H200.1030,M,19710,L3
F1S4_160831_053_G01,Exc L3-5 RORB ESR1,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_054_A01,Exc L3-5 RORB FILIP1L,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_054_B01,Inh L1-3 SST CALB1,GABAergic,H200.1030,M,19710,L3
F1S4_160831_054_D01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_054_E01,Inh L1-4 LAMP5 LCP2,GABAergic,H200.1030,M,19710,L3
F1S4_160831_054_F01,Exc L3-5 RORB FILIP1L,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_054_G01,Exc L3-4 RORB CARM1P1,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_054_H01,OPC L1-6 PDGFRA,Non-neuronal,H200.1030,M,19710,L3
F1S4_160831_055_A01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_055_B01,Inh L1-3 SST CALB1,GABAergic,H200.1030,M,19710,L3
F1S4_160831_055_C01,no class,no class,H200.1030,M,19710,L3
F1S4_160831_055_D01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_055_E01,Inh L1-4 LAMP5 LCP2,GABAergic,H200.1030,M,19710,L3
F1S4_160831_055_F01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_055_G01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_056_A01,Inh L2-3 VIP CASC6,GABAergic,H200.1030,M,19710,L3
F1S4_160831_056_B01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_056_C01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_056_D01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L3
F1S4_160831_056_E01,Exc L2-3 LINC00507 FREM3,Glutamatergic,H200.1030,M,19710,L3
